FIPS,Democrat,Republican,State,Abbr
1,0,9,ALABAMA,AL
2,0,3,ALASKA,AK
4,11,0,ARIZONA,AZ
5,0,6,ARKANSAS,AR
6,54,0,CALIFORNIA,CA
8,10,0,COLORADO,CO
9,7,0,CONNECTICUT,CT
10,3,0,DELAWARE,DE
11,3,0,DISTRICT OF COLUMBIA,DC
12,0,30,FLORIDA,FL
13,16,0,GEORGIA,GA
15,4,0,HAWAII,HI
16,0,4,IDAHO,ID
17,19,0,ILLINOIS,IL
18,0,11,INDIANA,IN
19,0,6,IOWA,IA
20,0,6,KANSAS,KS
21,0,8,KENTUCKY,KY
22,0,8,LOUISIANA,LA
24,10,0,MARYLAND,MD
25,11,0,MASSACHUSETTS,MA
26,15,0,MICHIGAN,MI
27,10,0,MINNESOTA,MN
28,0,6,MISSISSIPPI,MS
29,0,10,MISSOURI,MO
30,0,4,MONTANA,MT
32,6,0,NEVADA,NV
33,4,0,NEW HAMPSHIRE,NH
34,14,0,NEW JERSEY,NJ
35,5,0,NEW MEXICO,NM
36,28,0,NEW YORK,NY
37,0,16,NORTH CAROLINA,NC
38,0,3,NORTH DAKOTA,ND
39,0,17,OHIO,OH
40,0,7,OKLAHOMA,OK
41,8,0,OREGON,OR
42,19,0,PENNSYLVANIA,PA
44,4,0,RHODE ISLAND,RI
45,0,9,SOUTH CAROLINA,SC
46,0,3,SOUTH DAKOTA,SD
47,0,11,TENNESSEE,TN
48,0,40,TEXAS,TX
49,0,6,UTAH,UT
50,3,0,VERMONT,VT
51,13,0,VIRGINIA,VA
53,12,0,WASHINGTON,WA
54,0,4,WEST VIRGINIA,WV
55,10,0,WISCONSIN,WI
56,0,3,WYOMING,WY
23,3,1,MAINE,ME
31,1,4,NEBRASKA,NE
